composer,piece,top_recommendation,date,reviewer,podcast
"Berlioz, Hector",L'enfance du Christ,"Jean Rigby (mezzo-soprano), Alastair Miles (bass), Gerald Finley (baritone), John Aler (tenor), Gwynne Howell (bass), Peter Evans (tenor), Robert Poulton (baritone), Corydon Singers, Corydon Orchestra, Matthew Best (conductor) 
(recorded 1994)
HYPERION CDA 66991/2 (2-CD)",2001-12-22T00:00:00Z,William McVicker,NA
"Nielsen, Carl",Symphony No 6 'Sinfonia semplice',"San Francisco Symphony Orchestra, Herbert Blomstedt (conductor)
DECCA 4609882 (2CD)",2001-12-08T00:00:00Z,NA,NA
"Rossini, Gioachino",The Barber of Seville,"Leo Nucci (Figaro), Cecilia Bartoli (Rosina), William Matteuzzi (Il Conte d'Almaviva), Enrico Fissore (Bartolo), Paata Burchuladze (Basilio), Bologna Teatro Comunale Chorus & Orchestra, Giuseppe Patane (conductor) 
(recorded 1988)
DECCA 425 520-2 (3-CD)",2001-12-01T00:00:00Z,Christopher Cook,NA
"Bach, Johann Sebastian","Cantata ""Gottes Zeit ist die allerbeste Zeit"" BWV 106","Ann Monoyios (soprano), Steven Rickards (countertenor), Edmund Brownless (tenor), Jan Opalach (bass), The Bach Ensemble, Joshua Rifkin (director)
DECCA 458 087-2 (2-CD)",2001-11-24T00:00:00Z,NA,NA
"Beethoven, Ludwig Van","Piano Sonata No 31 in A flat, Op 110","Myra Hess (piano) (recorded 1953)
PHILIPS 456 832-2 (2-CD, mono)",2001-11-17T00:00:00Z,Misha Donat,NA
"Mahler, Gustav",Lieder eines fahrenden Gesellen,"Dietrich Fischer-Dieskau (baritone), Bavarian Radio Symphony Orchestra, Rafael Kubelik (conductor) (1968)                                                                                        
DG 463 516-2 (CD)",2001-11-10T00:00:00Z,NA,NA
"Ravel, Maurice","Ma Mère l'oye (""Mother Goose"")","London Symphony Orchestra, Pierre Monteux (conductor)
PHILIPS 464 733-2 (CD)",2001-11-03T00:00:00Z,NA,NA
"Mozart, Wolfgang Amadeus","String Quartet No 18 in A major, K.464","Quatuor Mosaïques
(recorded 1991)
ASTREE NAIVE E 8845 (CD)",2001-10-27T00:00:00Z,NA,NA
"Vaughan Williams, Ralph",Serenade to Music,"16 soloists, London Philharmonic Orchestra, Sir Roger Norrington 
(recorded 1996)
DECCA 467 047-2 (CD)",2001-10-20T00:00:00Z,NA,NA
"Poulenc, Francis",Concert champêtre,"Trevor Pinnock (harpsichord), Boston Symphony Orchestra, Seiji Ozawa (conductor)
(recorded live in 1991)
DG 445 567-2 (CD)",2001-10-13T00:00:00Z,NA,NA
